epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_macro_f1,val_macro_f1,val_weighted_f1,learning_rate,epoch_seconds
1,1.6332144406950397,1.4663521132245487,0.3986863057324841,0.4897816999535532,0.3416597542320957,0.400666180573326,0.4679838274577512,0.0003,111.03355765342712
2,1.5055949061539522,1.4281885885826886,0.466859076433121,0.5090571295866233,0.42588258332694157,0.43722569201209044,0.5010617817628694,0.00029979580067843143,127.98694038391113
3,1.3533430137452047,1.2327837706498086,0.5381170382165605,0.60078959591268,0.5159742377725371,0.5507477829468257,0.5950643440582066,0.00029918376240987266,118.25309872627258
4,1.2270493518774677,1.1839147013838325,0.6020103503184714,0.6230840687412912,0.5883261420298354,0.5783256139765195,0.6210554095187331,0.0002981655627486755,151.62827372550964
5,1.1556542984619262,1.154958188229254,0.6411226114649682,0.6360891778913145,0.6348488179745432,0.5871429974628443,0.6321749122459732,0.000296743992509337,180.928786277771
6,1.1023747996919473,1.1116956574829358,0.6649582006369427,0.6595448211797492,0.6639248356436084,0.6233246356274539,0.6561344371885222,0.0002949229481170711,111.51932001113892
7,1.0499837599742186,1.1080078034416443,0.6924761146496815,0.6602415234556432,0.6980714002246279,0.63337295609134,0.6566420341890643,0.0002927074209279778,146.11711978912354
8,1.0152947078844545,1.0946677187349538,0.7100417993630573,0.6653506734788667,0.7162381317762069,0.6424022442133609,0.6627865027107316,0.000290103483548083,158.70754885673523
9,0.9696234405800036,1.0946260899429923,0.7293491242038217,0.6753367394333488,0.7371736901107616,0.6487172067513255,0.6702325683948889,0.00028711827318874745,150.80459809303284
10,0.9218943333549864,1.1016431286674957,0.7585091560509554,0.6688341848583372,0.768101372530461,0.6554817661955592,0.669735996909172,0.00028375997210406675,154.2450270652771
11,0.8954579646040679,1.1145243316930336,0.7708996815286624,0.6732466326056665,0.7807477889731741,0.6530444351145829,0.6684783756488825,0.00028003778516388136,135.6632478237152
12,0.8589672987248488,1.108716071011906,0.7885648885350318,0.6739433348815607,0.7993391336081894,0.6593028400308887,0.6717238014977184,0.00027596191462386815,137.59637141227722
13,0.8361733272956435,1.1222116683064314,0.7994128184713376,0.673711100789596,0.8087045880839983,0.6581404933759468,0.6695570539001889,0.00027154353216186716,132.14693593978882
14,0.7960606283822637,1.1262430128694632,0.8187201433121019,0.6864839758476544,0.8298470382294322,0.6750450356105585,0.6852100099235475,0.00026679474825708866,153.27138495445251
15,0.7802632502309835,1.1291131828753715,0.8256369426751592,0.6774268462610311,0.8349809780489166,0.6688967384808872,0.6768974617475918,0.0002617285789961317,100.20772862434387
16,0.7575761180394774,1.1571381567690575,0.8383757961783439,0.6732466326056665,0.848131277897027,0.6679038814203826,0.6757438514627261,0.0002563589103967956,108.10540986061096
17,0.7224835385182861,1.158705072185908,0.8564888535031847,0.6755689735253135,0.8649875030362945,0.6654351468579497,0.6759108112734676,0.00025070046034746986,111.98273706436157
18,0.7068835140033892,1.1773328107841836,0.8635051751592356,0.6732466326056665,0.8717302629496722,0.6674618921438429,0.674582137150615,0.0002447687382664258,445.4741814136505
19,0.6974145527098589,1.1694542709417914,0.8674363057324841,0.6778913144449605,0.8741398241191342,0.66802342874131,0.6750557968480551,0.00023858000259157846,146.36466360092163
20,0.6755244824916694,1.1834377190483154,0.8773387738853503,0.6820715281003251,0.8851282513659553,0.6733677752633632,0.6796154455633672,0.000232151216217239,156.39515590667725
21,0.66233603760695,1.1968879040263167,0.8852010350318471,0.6825359962842545,0.8916680060395296,0.6723641530414415,0.68172212134065,0.00022549999999999998,143.79851984977722
22,0.6413528247244039,1.1892777404506096,0.8929140127388535,0.687645146307478,0.8988278176333498,0.6799339209216735,0.6861307100374703,0.00021864458446119246,180.28118419647217
23,0.6310462707736689,1.1967658173246158,0.8986365445859873,0.680678123548537,0.9053479713578209,0.664351217153954,0.6769120473535395,0.00021160375981829426,168.06486201286316
24,0.6243530548871703,1.2034633308026164,0.9037121815286624,0.6871806781235485,0.9088190641253336,0.6764240527667178,0.6865933312367541,0.00020439682448224978,122.3065733909607
25,0.6065020218586467,1.2033339639735454,0.9130672770700637,0.6885740826753367,0.9184718237406011,0.6777448255137626,0.6860838512020273,0.00019704353216186716,189.81804275512695
