epoch,improved,learning_rate,train_accuracy,train_loss,train_macro_f1,train_weighted_f1,val_accuracy,val_loss,val_macro_f1,val_roc_auc_macro_ovr,val_weighted_f1
1,True,0.00029940822121730015,0.6694473409801877,1.300999669822339,0.6348009579169116,0.6605548946286244,0.6791666666666667,0.8958083470662435,0.6293669908116301,0.965087890625,0.6369161880485344
2,True,0.00029763764952399856,0.7163712200208551,0.91908066004235,0.6949970765718175,0.716450369475278,0.7416666666666667,0.7744760632514953,0.6715699059213915,0.9683797647664836,0.7163412329828176
3,True,0.00029470254052229043,0.7320125130344108,0.8705524227915019,0.7078568485042123,0.7327772586135453,0.7208333333333333,0.7635199805100759,0.6884124214465135,0.9698150970123627,0.696211344781043
4,True,0.00029062652598404136,0.748696558915537,0.8375483493983932,0.7189202371162275,0.7475704284224014,0.7208333333333333,0.7899995346864065,0.6958697328609176,0.9683556189903846,0.7041658102897407
5,True,0.0002854424235816556,0.7466110531803962,0.8249813625909489,0.7275690960398244,0.7486759655118235,0.7375,0.7584916402896246,0.7194381356762936,0.9687741457760989,0.7323129587564675
6,False,0.0002791919726594743,0.7549530761209593,0.7946240581237984,0.7375344654362004,0.7572833182292179,0.7041666666666667,0.8218628704547882,0.6826274345567478,0.9705180073832418,0.6892470413049754
7,True,0.0002719254981731173,0.7664233576642335,0.788687309644518,0.7476090531012414,0.767183128720696,0.7541666666666667,0.751887708902359,0.7430716018809447,0.9730962396978022,0.7501854662487654
8,False,0.00026370150550253087,0.781021897810219,0.7704680977822345,0.7607182429922557,0.7805803484560262,0.75,0.7243535389502843,0.7350973327299966,0.9735845209478022,0.7415506300893013
9,True,0.00025458620940106913,0.7789363920750783,0.7691001199706379,0.7602174233539866,0.7811061847056016,0.7583333333333333,0.7494067549705505,0.744628719286774,0.9728091732486264,0.7488805629839064
10,True,0.0002446530008732339,0.786235662148071,0.7585917421003825,0.7683926346764316,0.7882851158451932,0.7666666666666667,0.7204713374376297,0.7510143517207636,0.973640861092033,0.7635819751688145
11,False,0.00023398185627345911,0.7924921793534933,0.7485314857474955,0.7708737893687494,0.7929173080187859,0.7583333333333333,0.7141073475281398,0.7412502285352169,0.9765732314560439,0.7462224659931203
12,False,0.00022265869338353086,0.7966631908237748,0.7336338326505873,0.7819972459616564,0.7964880639317521,0.75,0.726866461833318,0.7387046696419084,0.9738367101648352,0.7458463844601408
13,False,0.00021077467965312683,0.7977059436913452,0.7250716301211475,0.7792752635285152,0.7993206017409296,0.725,0.7659188469250997,0.7052347687636096,0.9773807735233516,0.7112247789888759
14,False,0.0001984254981731173,0.7956204379562044,0.7286774536616114,0.783081203760875,0.7974981622072954,0.7458333333333333,0.7272167960802715,0.7229431848529515,0.9778207632211539,0.7284727305098149
15,False,0.00018571057729157824,0.8050052137643379,0.7182191948448158,0.790022686656584,0.8073619262305878,0.7625,0.7338013013203939,0.747338357975128,0.9760473901098902,0.7527164707290254
16,False,0.0001727322900751954,0.8029197080291971,0.6991018452472806,0.7885436596771389,0.8042159995824981,0.7375,0.7394004543622335,0.7172676147769455,0.9783975789835164,0.7224187890954085
17,False,0.00015959513006152574,0.8070907194994786,0.7027213977138989,0.7923758224242033,0.8082082613387627,0.75,0.741618099808693,0.7344641844674974,0.9777027172046704,0.7399502025624319
